address,zip,BuildingType,CalendarYear built,HeatingHeating,SnowflakeCooling,ParkingParking,HOAHOA,LotLot,Price Square FeetPrice/sqft,Rent,Mortgage fees per month,Mortgage fees per year,Walk Score,School Rank,Violent Crime,Property Crime
"617 S 3rd Ave W, Newton, IA 50208",50208,Single Family Residence,1920,Forced Air Gas Natural Gas,Central Air,1,,8712,141,,393,4718,66,127,,
"3610 38th St, Des Moines, IA 50310",50310,SINGLE_FAMILY,1947,Forced air Gas,Central,1,,10018,117,,591,7086,60,38,3827,4091
"402 Maple Dr, Treynor, IA 51575",51575,Single Family Residence,1995,Forced Air,Central Air,2,,10890,127,,531,6375,5,,,
"721 28th Ave, Middle Amana, IA 52307",52307,Single Family Residence,1992,Forced Air Gas,Central Air,1,,9147,156,,338,4054,16,,,
"202 N Linn St #402, Iowa City, IA 52245",52245,,,,,,,,,,,,92,27,4091,1618
"6012 Tulip Ct, Panora, IA 50216",50216,Unimproved Land,,,,,,,,,404,4845,0,,,
"104 S Williams St, Wheatland, IA 52777",52777,Single Family Residence,1918,Natural Gas Forced Air,Window Unit(s),,,14810,77,,170,2037,33,,,
"2208 N 5th St, Clinton, IA 52732",52732,Single Family Residence,1899,Natural Gas Forced Air,Central Air,,,5264,48,,189,2270,55,101,1618,3647
"514 E 2nd St, Webster City, IA 50595",50595,Single Family Residence,1870,Forced Air,None,2,,14810,62,,101,1211,23,82,3647,1093
"1112 S Mill St, Decorah, IA 52101",52101,Single Family Residence,1969,Hot Water,Wall Unit(s),2,,10890,112,,331,3973,53,36,1093,983
"LOT 4 Twenty Matthews Pass, Bettendorf, IA 52722",52722,Single Family Residence,2021,Natural Gas Forced Air,,,,11326,231,,988,11858,0,4,983,1282
"1920 Taylor Ave #C, Marshalltown, IA 50158",50158,,,,,,,,,,,,0,79,1282,2496
"2758 O Ave NW #A, Cedar Rapids, IA 52405",52405,,,,,,,,,,,,5,105,2496,3336
"2469 Pinard St, Dubuque, IA 52001",52001,SINGLE FAMILY - DETACHED,1900,Forced Air,Window Unit(s),,,2178,31,,96,1148,69,72,3336,1637
"2820 Wall St, Sioux City, IA 51104",51104,Single Family Residence Residential,1978,Forced Air Fireplace(s),Central Air,2,,9228,175,,414,4972,42,64,1637,3890
"13228 385th St, Carson, IA 51525",13228,SINGLE_FAMILY,1992,Forced air Gas,Central,,,142006,131,,844,10124,1,,,
"10017 Powell Ave, Johnston, IA 50131",10017,Single Family Residence,2021,Forced Air Gas Natural Gas,Central Air,3,150,7840,279,,896,10749,6,358,3890,1198
"318 E Clay St, Osceola, IA 50213",50213,Single Family Residence,1930,Forced Air Gas Natural Gas,Central Air,2,,15246,101,,329,3952,59,142,1198,2393
"410 N Shore Dr, Clear Lake, IA 50428",50428,Multi Family,1920,Forced Air,,1,,,230,,637,7647,54,58,2393,1747
"624 W 1st St, Monticello, IA 52310",52310,Single Family Residence,1900,Gas Hot Water,Wall/Window Unit(s),,,14375,56,,298,3570,55,91,,
"905 Conn St, Parkersburg, IA 50665",50665,Single Family Residence,2008,Forced Air Natural Gas,Central Air,1,,9147,141,,404,4842,40,,,
"3020 Rhett Cir, Des Moines, IA 50321",50321,Single Family Residence,1993,Forced Air Gas Natural Gas,Central Air,3,,25265,162,,903,10838,11,67,1747,4091
"2507 6th St, Emmetsburg, IA 50536",50536,Single Family Residence,1956,Forced Air,Central Air,2,,8712,105,,308,3698,61,103,,
"581 Ash St, Ocheyedan, IA 51354",51354,Single Family Residence Residential,1978,Forced Air Fireplace(s),Central Air,2,,13939,130,,506,6069,12,,,
"710 S 5th St, Knoxville, IA 50138",50138,Single Family Residence,1964,Gas Natural Gas,Central Air,1,,10454,133,,316,3787,41,138,,
"3300 SW 33rd St, Des Moines, IA 50321",50321,Single Family Residence,1992,Forced Air Gas Natural Gas,Central Air,2,,23958,208,,1026,12316,7,67,4091,4091
"180 Saint At Ave, Ogden, IA 50212",50212,Farm,,,,,,,,,,,0,,,
"1102 Broadway St, Audubon, IA 50025",50025,Single Family Residence,1955,Forced Air Gas Natural Gas,Central Air,1,,7405,16,,34,405,21,,,
"647 E Adams St, Marengo, IA 52301",52301,Single Family Residence,1948,Gas,Wall/Window Unit(s),,,8712,32,,74,892,27,,,
"1903 23rd St, Des Moines, IA 50310",50310,Single Family Residence,1912,,,,,6098,102,,147,1760,0,38,4091,4091
"801 4th St, Griswold, IA 51535",51535,SINGLE_FAMILY,1940,Forced air Gas,Central,,,7801,78,,176,2116,35,,,
"4130 Fillmore Ln, Davenport, IA 52806",52806,Single Family Residence,1969,Natural Gas Forced Air,Central Air,,,8395,110,,446,5355,44,99,4091,3827
"924 Helen St, Sioux City, IA 51105",51105,,,,,,,,,,,,18,125,3827,3890
"5699 Walnut Ridge Dr, Des Moines, IA 50317",50317,Unimproved Land,,,,,,,,,134,1606,8,148,3890,4091
"0 E Church St, Panora, IA 50216",50216,Unimproved Land,,,,,,,,,17,204,0,,,
"3517 Monticello Ave, Waterloo, IA 50701",50701,Single Family Residence,1972,Forced Air Natural Gas,Central Air,3,,10018,99,,467,5607,32,116,4091,2484
"506 N Richland St, Richland, IA 52585",52585,Single Family Residence,1920,Forced Air,Window Unit(s),2,,17424,35,,158,1900,25,,,
"25631 Sinclair Ave, Allison, IA 50602",25631,Unimproved Land,1995,Electric,Ceiling Fan(s) Window Unit(s),3,,,68,,266,3188,0,,,
"1136 Tamarack Trl, Iowa City, IA 52245",52245,Single Family Residence,2022,Forced Air Natural Gas,Ceiling Fan(s) Central Air Electric,3,,,241,,1594,19122,3,27,2484,1618
"305 Foote St, Sidney, IA 51652",51652,,,,,,,,,,,,30,,,
"10025 Powell Ave, Johnston, IA 50131",10025,Single Family Residence,2021,Forced Air Gas Natural Gas,Central Air,3,150,8276,193,,853,10236,6,134,1618,1198
"1314 NW Beechwood St, Ankeny, IA 50023",50023,Single Family Residence,1979,Electric Forced Air Gas,Central Air,2,,8276,232,,542,6502,16,15,,
"102 S Walnut St, Winfield, IA 52659",52659,Single Family Residence,1900,Forced Air,Central Air,2,,12197,49,,191,2292,36,,,
"1695 170th St, Sioux City, IA 51106",51106,Single Family Residence Residential,1995,Forced Air,Central Air,2,,458687,176,,988,11858,0,65,1198,3890
"3820 Sue Ln NW, Cedar Rapids, IA 52405",52405,Single Family Residence,1976,Forced Air Gas,Central Air Whole House Fan,2,,13068,135,,508,6094,55,105,3890,3336
"129 Obrian St, Goose Lake, IA 52750",52750,Single Family Residence,1915,Forced Air Radiant,,,,9504,105,,340,4080,24,,,
"1082 Adare Pass, Marion, IA 52302",52302,Single Family Residence,2017,Forced Air Gas,Central Air,3,,13939,228,,850,10199,2,33,3336,1278
"2603 N 3rd St, Clinton, IA 52732",52732,Single Family Residence,1918,Natural Gas Forced Air,Window Unit(s),,,6272,38,,68,816,54,101,1278,3647
"325 Russell Slade Blvd, Coralville, IA 52241",52241,Multi Family Single Family Residence,2022,Forced Air Natural Gas,Ceiling Fan(s) Central Air Electric,3,,8276,226,,1540,18485,14,11,3647,3127
"LOT 4 Seventeen Matthews Ct, Bettendorf, IA 52722",52722,Single Family Residence,2021,Natural Gas Forced Air,,,,11761,234,,940,11284,0,4,3127,1282
"3756 Cottage Reserve Rd NE, Solon, IA 52333",52333,Single Family Residence,1983,Central Forced Air Natural Gas,Ceiling Fan(s) Central Air Electric,2,185,14375,312,,2497,29962,3,,,
"231 31st Street Dr SE, Cedar Rapids, IA 52403",52403,Single Family Residence,1954,Gas Gravity,Wall/Window Unit(s),,,,135,,190,2282,0,48,1282,3336
"1060 7th Ave, Wellman, IA 52356",52356,Single Family Residence,1935,Natural Gas Central Forced Air,Electric Central Air,1,,6969,139,,265,3185,35,,,
"848 202nd St, Jefferson, IA 50129",50129,LOT,1916,Other Other,Other,1,,,206,,829,9942,0,151,,
"526 S 9th St, Burlington, IA 52601",52601,Single Family Residence,1924,Forced Air,Central Air,1,,4356,10,,55,660,76,153,,
"689 Waveland Dr, Marion, IA 52302",52302,Single Family Residence,2014,Forced Air,,2,,,122,,627,7522,4,33,3336,1278
"1305 N 14th St, Fort Dodge, IA 50501",50501,SINGLE_FAMILY,1966,Forced air Gas,Central,2,,24394,189,,404,4842,11,157,1278,3020
"0 Turnberry Dr, Norwalk, IA 50211",50211,Unimproved Land,,,,,,,,,2888,34651,0,59,3020,750
"957 Mount Loretta Ave, Dubuque, IA 52003",52003,SINGLE FAMILY - DETACHED,1890,Forced Air,Central Air,1,,5227,123,,298,3570,0,46,750,1637
"2335 20th St SW, Mason City, IA 50401",50401,SINGLE_FAMILY,1946,Forced air Gas,,2,,12197,93,,195,2343,24,149,1637,2925
"3017 Fox Run, Des Moines, IA 50321",50321,,,,,,,,,,,,0,67,2925,4091
"1814 Arlington Ave, Des Moines, IA 50314",50314,Single Family Residence,1885,Forced Air Gas Natural Gas,Central Air,,,7840,120,,627,7522,78,113,4091,4091
"311 Main St, Union, IA 50258",50258,Single Family Residence,1913,Forced Air,None,2,,10018,25,,148,1772,0,,,
"2110 NW Pleasant St, Ankeny, IA 50023",50023,Single Family Residence,1996,Forced Air Gas Natural Gas,Central Air,2,,8712,152,,701,8415,55,15,,
"602 W Washington Blvd, Washington, IA 52353",52353,Single Family Residence,1890,Forced Air Natural Gas,Ceiling Fan(s) Central Air,2,,10018,75,,516,6194,67,155,4091,1805
"2270 24th Ave, Marion, IA 52302",52302,Single Family Residence,1962,Forced Air Gas,Central Air,2,,7405,115,,425,5100,17,33,1805,1278
"606 G Ave NW, Cedar Rapids, IA 52405",52405,Single Family Residence,1900,Forced Air Gas,Central Air,1,,,70,,202,2422,45,105,1278,3336
"15500 N Tradewind Dr UNIT 3, Spirit Lake, IA 51360",15500,Condominium,1990,Fireplace(s) Forced Air,Central Air,2,,,,,1359,16307,0,,3336,1413
"23896 Midland Trl, Dallas Center, IA 50063",23896,Single Family Residence,1986,Forced Air Gas Propane,Central Air,2,,279655,418,,1169,14022,0,,,
"1206 Howard Rd, Storm Lake, IA 50588",50588,,,,,,,,,,,,0,90,1413,1620
"1410 Hunter Dr, Norwalk, IA 50211",50211,Single Family Residence,1989,Forced Air Gas Natural Gas,Central Air,1,,9147,153,,404,4842,20,59,1620,750
"529 Longwood Dr NE, Cedar Rapids, IA 52402",52402,Single Family Residence,1930,Forced Air Gas,Central Air,2,,6534,119,,340,4077,58,37,750,3336
"10209 Powell Ave, Johnston, IA 50131",10209,Single Family Residence,2021,Forced Air Gas Natural Gas,Central Air,2,150,7405,302,,808,9690,6,,3336,1198
"617 S 12th St, Fort Dodge, IA 50501",50501,SINGLE_FAMILY,1914,Forced air Electric Gas,Central,2,,9583,61,,350,4205,71,157,1198,3020
"800 E Edison Ave, Des Moines, IA 50315",50315,Single Family Residence,1900,Gas Heat Pump,None,,,4791,93,,202,2422,41,21,3020,4091
"982 22nd Ave, Coralville, IA 52241",52241,Single Family Residence,1991,Forced Air Natural Gas,Ceiling Fan(s) Central Air,2,,5227,106,,489,5862,56,11,4091,3127
"101 6th Ave, Sibley, IA 51249",51249,Single Family Residence Residential,1965,Forced Air,Central Air,1,,10890,112,,266,3188,35,94,,
"200 W Nebraska St, Lenox, IA 50851",50851,,,,,,,,,,,,32,,,
"4 04 140th Ave, Indianola, IA 50125",50125,Unimproved Land,,,,,,,,,606,7268,7,76,3127,1946
"102 Center St, Decorah, IA 52101",52101,Single Family Residence,1969,Forced Air Natural Gas,Central Air,1,,10018,173,,445,5342,61,36,1946,983
"6514 Sheridan Ave, Des Moines, IA 50322",50322,Single Family Residence,1964,Forced Air Gas Natural Gas,Central Air,2,,11326,177,,525,6298,50,34,983,4091
"208 8th St SW, Dayton, IA 50530",50530,SINGLE_FAMILY,,Electric Gas,Central,4,,174240,108,,298,3570,26,,,
"1426 Ranier Dr, Iowa City, IA 52246",52246,,,,,,,,,,,,0,13,4091,1618
"2204 State Highway 26, Lansing, IA 52151",52151,Single Family Residence,1997,Forced Air Propane Leased,Central Air,,150,18295,216,,593,7114,43,,,
"910 Avenue B, Council Bluffs, IA 51503",51503,SINGLE_FAMILY,1900,Forced air Electric Gas,Central,,,7919,62,,253,3034,77,101,1618,5845
"701 SE Dovetail Rd APT 3, Grimes, IA 50111",50111,Townhouse,2005,Forced Air Gas Natural Gas,Central Air,1,160,,127,,233,2792,0,43,,
"320 E 7th St, Ames, IA 50010",50010,Single Family Residence,1954,Forced Air,Central Air Window Unit(s),3,,12197,86,,520,6235,56,12,5845,1716
"505 7th St, Burt, IA 50522",50522,Single Family Residence,1920,Forced Air,Central Air,2,,10018,42,,106,1272,10,,,
"575 W 18th St, Washington, IA 52353",52353,Unimproved Land,,,,,,,,,84,1007,0,155,1716,1805
"300 N Vine St, Creston, IA 50801",50801,Single Family Residence,1878,Forced Air,Window Unit(s),2,,8276,41,,191,2295,57,131,1805,2107
"1918 Country Cove Ln, Altoona, IA 50009",50009,Single Family Residence,2002,Forced Air Gas Natural Gas,Central Air,2,200,9147,216,,765,9177,11,75,,
"2843 Inwood Ave, Rockwell City, IA 50579",50579,Single Family Residence,1915,Forced Air,Central Air,,,290981,105,,489,5865,0,,,
"1720 SE Clover Ridge Dr, Ankeny, IA 50021",50021,Single Family Residence,2010,Forced Air Gas Natural Gas,Central Air,3,,10890,203,,1062,12750,4,24,,
"2687 Highway 1 NE, Iowa City, IA 52240",52240,Single Family Residence,1980,Forced Air Natural Gas,Ceiling Fan(s) Central Air Electric,2,,57935,198,,742,8900,91,40,2107,1618
"1113 Woodland Park Dr, West Des Moines, IA 50266",50266,Townhouse,1978,Forced Air Gas Natural Gas,Central Air,2,280,4356,186,,436,5228,29,12,,
"1026 Davis Ave, Des Moines, IA 50315",50315,Single Family Residence,1910,Forced Air Gas Natural Gas,Central Air,,,6534,96,,234,2805,5,21,1618,4091
"2855 Quasqueton Ave, Rowley, IA 52329",52329,Unimproved Land,1912,Propane,Ceiling Fan(s) Central Air,3,,,175,,1020,12240,0,,,
"500 N 15th St, Indianola, IA 50125",50125,Single Family Residence,1998,Forced Air Gas Natural Gas,Central Air,2,,9583,171,,552,6627,17,76,4091,1946
"275 S 61st St, West Des Moines, IA 50266",50266,Single Family Residence,2005,Forced Air Gas Natural Gas,Central Air,3,185,10454,185,,1254,15042,42,12,,
"2516 110th St, Stanley, IA 50671",50671,,,,,,,,,,,,0,,,
"6402 N Division St, Davenport, IA 52806",52806,,,,,,,,,,,,0,99,1946,3827
"1002 Pointe Dr, Carter Lake, IA 51510",51510,Single Family Residence,2000,Forced Air Natural Gas,Central Air,2,150,4791,134,,754,9052,11,145,,
"126 Cortland Ct, Norwalk, IA 50211",50211,,,,,,,,,,,,22,59,3827,750
"2813 NW 3rd St, Ankeny, IA 50023",50023,Single Family Residence,1994,Forced Air Gas Natural Gas,Central Air,2,,11326,208,,742,8900,23,15,,
"1203 9th Ave SE, Dyersville, IA 52040",52040,SINGLE FAMILY - DETACHED,1993,Forced Air,Central Air,2,,9240,122,,563,6755,52,85,,
"5997 Applewood Dr, West Des Moines, IA 50266",50266,Single Family Residence,1994,Forced Air Gas Natural Gas,Central Air,2,,10018,190,,722,8667,26,12,,
"1109 S Ave, Milford, IA 51351",51351,Single Family Residence,1974,Forced Air,Central Air,3,,16988,110,,487,5840,54,106,,
"102 Hoover St, Waterloo, IA 50702",50702,Single Family Residence,1929,Forced Air Natural Gas,Central Air,1,,5227,100,,168,2012,57,134,750,2484
"5612 Brook View Ave, Des Moines, IA 50317",50317,Unimproved Land,,,,,,,,,134,1606,7,148,2484,4091
"651 Pine Ave, Norwalk, IA 50211",50211,Unimproved Land,,,,,,,,,149,1782,22,59,4091,750
"2105 9th St, Harlan, IA 51537",51537,Single Family Residence,1960,Forced Air,Central Air,2,,14810,70,,445,5342,42,54,,
"9868/9873 F Ave, Wapello, IA 52653",52653,,,,,,,,,,,,0,,,
"LOT 4 21 Matthews Pass, Bettendorf, IA 52722",52722,Single Family Residence,2021,Natural Gas Forced Air,,,,11326,195,,1062,12750,0,4,750,1282
"0 Highway 3, Goldfield, IA 50542",50542,Farm,,,,,,,,,,,10,,,
"739 Boone St W, Webster City, IA 50595",50595,SINGLE_FAMILY,,Forced air Gas,Central,1,,10236,94,,168,2014,60,82,1282,1093
"32972 Homestead Dr, Granger, IA 50109",32972,Single Family Residence,1932,Forced Air Gas Natural Gas,Central Air,2,,120661,159,,765,9180,4,,,
"12340 Bison Trl, Unionville, IA 52594",12340,Unimproved Land,,,,,,,,,85,1020,0,,,
"408 New York Ave, Creston, IA 50801",50801,Single Family Residence,1892,Forced Air,Central Air,1,,5227,97,,189,2270,71,131,1093,2107
"301 Cedar Dr, Gilbert, IA 50105",50105,SINGLE_FAMILY,2021,,,,,15246,265,,844,10127,4,8,,
"37 Eagles Crest Dr, Davenport, IA 52804",52804,Single Family Residence,2021,Natural Gas Forced Air,,,,7405,201,,512,6138,0,137,2107,3827
"611 Scenic Dr, Clinton, IA 52732",52732,Single Family Residence,1967,Natural Gas Forced Air,Central Air,,,9670,52,,159,1912,6,101,3827,3647
"LOT 3 Addyson Dr, Bettendorf, IA 52722",52722,Single Family Residence,2021,Natural Gas Forced Air,,,150,8276,245,,834,10009,4,4,3647,1282
"LOT 4 Fifteen Matthews Ct, Bettendorf, IA 52722",52722,Single Family Residence,2021,Natural Gas Forced Air,,,,10454,257,,903,10838,52,4,1282,1282
"210 Locust St, Strawberry Point, IA 52076",52076,Single Family Residence,1962,Forced Air,Central Air,1,,5227,105,,251,3009,38,,,
"LOT 4 23 Matthews Pass, Bettendorf, IA 52722",52722,Single Family Residence,2021,Natural Gas Forced Air,,,,11326,206,,1025,12304,38,4,1282,1282
"5640 Brook View Ave, Des Moines, IA 50317",50317,Unimproved Land,,,,,,,,,147,1760,7,148,1282,4091
"303 3rd St #1/2, Low Moor, IA 52757",52757,,,,,,,,,,,,48,,,
"512 6th St, Kensett, IA 50448",50448,Single Family Residence,1900,Forced Air,Window Unit(s),2,,16553,43,,175,2103,4,,,
"447 White Oak Rd, Guttenberg, IA 52052",52052,SINGLE FAMILY - ATTACHED,1995,Forced Air,Central Air,4,200,14810,243,,744,8925,4,,,
"3024 Willowwood Dr, Bettendorf, IA 52722",52722,Condominium Single Family Residence,1981,Natural Gas,Central Air,,130,,101,,361,4332,21,4,4091,1282
"305 S Main St, Maquoketa, IA 52060",52060,SINGLE FAMILY - DETACHED,1918,Forced Air,Central Air,1,,7405,59,,231,2767,59,131,1282,2311
"302 2nd St SW, Waverly, IA 50677",50677,Single Family Residence,1921,Forced Air Natural Gas,Central Air,1,,6969,96,,297,3567,72,49,,
"4805 86th St APT 29, Urbandale, IA 50322",50322,Townhouse,1981,Forced Air Gas Natural Gas,Central Air,1,203,,126,,271,3251,0,34,2311,1022
"308 N Vine St, Creston, IA 50801",50801,Single Family Residence,1890,Baseboard,None,,,7405,61,,159,1912,52,131,1022,2107
"816 17th St, West Des Moines, IA 50265",50265,Single Family Residence,1955,Forced Air Gas Natural Gas,Central Air,1,,11326,190,,478,5738,28,34,,
"1813 Jenny Ln, Eldora, IA 50627",50627,Single Family Residence,1977,Baseboard,Central Air,2,,17424,80,,304,3644,21,,,
"6332 N Division St, Davenport, IA 52806",52806,Single Family Residence,1941,Natural Gas Forced Air,Central Air,,,15246,156,,361,4335,27,99,2107,3827
"2485 360th St, Harcourt, IA 50544",50544,Single Family Residence,1976,Forced Air Gas Propane,Central Air,2,,102802,165,,574,6885,0,,,
"187 S Cove Dr, Storm Lake, IA 50588",50588,Single Family Residence Residential,1971,Baseboard Fireplace(s),Central Air,2,,30056,285,,1488,17850,3,90,3827,1620
"612 S Sycamore St, Monticello, IA 52310",52310,Single Family Residence,1900,Forced Air Gas,Central Air,1,,18295,108,,287,3440,76,91,,
"5720 Summerland Dr, Waterloo, IA 50701",50701,Single Family Residence,2010,Electric,Ceiling Fan(s) Central Air,2,350,6534,130,,550,6602,6,116,1620,2484
"3060 110th St, Lenox, IA 50851",50851,,,,,,,,,,,,0,,,
"907 Ella Ave, Tiffin, IA 52340",52340,Single Family Residence,2022,Forced Air Natural Gas,Ceiling Fan(s) Central Air Electric,3,,9583,174,,1062,12747,5,104,,
"261 SE 2nd St, Ogden, IA 50212",50212,Single Family Residence,1955,Forced Air Gas Natural Gas,Central Air,1,,10890,134,,338,4054,35,,,
"1617 5th Ave E, Spencer, IA 51301",51301,Single Family Residence,1956,Forced Air,Central Air,1,,11326,105,,295,3544,39,140,2484,1662
"1022 Hickory Hill Ct #U A 8, Clinton, IA 52732",52732,,,,,,,,,,,,9,101,1662,3647
"4109 Lafayette Rd, Evansdale, IA 50707",50707,Single Family Residence,1952,Forced Air,Central Air,1,,28750,129,,241,2894,37,55,,
"516 Mill Run, Dubuque, IA 52002",52002,SINGLE FAMILY - DETACHED,2010,Forced Air,Central Air,3,,37026,139,,1190,14280,34,73,3647,1637
"201 Washington St, Marne, IA 51552",51552,Single Family Residence,1957,Forced Air,Central Air,1,,12197,45,,168,2012,14,,,
"604 Randall Dr, Solon, IA 52333",52333,Single Family Residence,2003,Forced Air Natural Gas,Ceiling Fan(s) Central Air,2,,6969,147,,691,8288,7,,,
"426 S Garfield Ave, Burlington, IA 52601",52601,Single Family Residence,1880,Forced Air,None,,,8276,7,,21,254,62,153,,
"6572 SE Sunsplash Dr, Pleasant Hill, IA 50327",50327,Single Family Residence,2011,Forced Air Gas Natural Gas,Central Air,2,,8276,228,,637,7647,0,76,,
"1419 W 39th St, Davenport, IA 52806",52806,Condominium Single Family Residence,2017,Natural Gas Forced Air Humidity Control,Central Air,,90,,262,,765,9177,0,99,1637,3827
"2913 S Union St, Des Moines, IA 50315",50315,Single Family Residence,1956,Forced Air Gas Natural Gas,Central Air,1,,9147,155,,255,3060,31,21,3827,4091
"601 S O St, Indianola, IA 50125",50125,Single Family Residence,1955,Forced Air Gas Natural Gas,Central Air,3,,11761,184,,478,5738,39,76,4091,1946
"3280 Zander Ln, Dexter, IA 50070",50070,Single Family Residence,2008,Geothermal,Geothermal,2,,298386,309,,2017,24200,0,,,
"1520 Center St, Des Moines, IA 50314",50314,Single Family Residence,1890,Forced Air Gas Natural Gas,Central Air,2,,7405,201,,637,7647,64,113,1946,4091
"2725 3rd Ave, Marion, IA 52302",52302,Single Family Residence,1958,Forced Air Gas,Central Air,1,,8276,144,,400,4794,55,33,4091,1278
"6284 S31 Hwy, Hartford, IA 50118",50118,Single Family Residence,1994,Forced Air Gas Propane,Central Air,3,,2382296,479,,2656,31875,0,,,
"1627 Main St, Adel, IA 50003",50003,Single Family Residence,1923,Forced Air Gas Natural Gas,Central Air,1,,9147,145,,343,4118,54,35,1278,2142
"17 Benton Ave E, Albia, IA 52531",52531,Unimproved Land,,,,,,,,,75,905,67,124,,
"616 N Bluff Blvd, Clinton, IA 52732",52732,Single Family Residence,1955,Natural Gas Forced Air,Central Air,,,4878,65,,255,3057,47,101,2142,3647
"1510 Broadview Ct, Ely, IA 52227",52227,Single Family Residence,2011,Forced Air Gas,Central Air,2,,8276,126,,510,6117,34,104,,
"924 2nd St NW, Waukon, IA 52172",52172,Single Family Residence,1966,Forced Air Natural Gas,Ceiling Fan(s) Central Air,1,,10890,85,,329,3952,21,107,,
"1500 S Grandview Ave, Dubuque, IA 52003",52003,SINGLE FAMILY - DETACHED,1950,Forced Air,Central Air,2,,16117,164,,436,5228,8,46,3647,1637
"4136 Hickory Ln, Sioux City, IA 51106",51106,Single Family Residence Residential,1986,Forced Air Fireplace(s),Central Air,2,,10454,81,,574,6885,45,65,1637,3890
"1117 Wier St, Muscatine, IA 52761",52761,SINGLE_FAMILY,1875,Other Gas,Central,2,,30056,123,,509,6107,8,126,3890,1343
"138 Aspen Dr, Norwalk, IA 50211",50211,,,,,,,,,,,,25,59,1343,750
"2028 7th Ave, Council Bluffs, IA 51501",51501,SINGLE_FAMILY,1910,Forced air Gas,Central,,,5663,45,,159,1912,0,120,750,5845
"601 Maple St, Anita, IA 50020",50020,Single Family Residence,1962,Forced Air,Central Air,1,,10890,54,,244,2932,41,,,
"1809 Central Ave, Northwood, IA 50459",50459,SINGLE_FAMILY,1967,,,,,165092,54,,514,6171,28,,,
"8350 Ep True Pkwy UNIT 1308, West Des Moines, IA 50266",50266,Townhouse,2006,Forced Air Gas Natural Gas,Central Air,2,250,,133,,319,3822,15,12,,
"317 5th Ave NW, Fort Dodge, IA 50501",50501,SINGLE_FAMILY,1970,Forced air Gas,Central,2,,11761,145,,265,3185,10,157,5845,3020
"1100 Greenview St, Kelley, IA 50134",50134,SINGLE_FAMILY,1979,Other Other,Other,2,,9457,230,,436,5228,0,,,
"1206 E Monroe St, Mount Ayr, IA 50854",50854,Single Family Residence,1920,Forced Air,Central Air,2,,29621,37,,84,1007,21,,,
"5655 Sun Valley Dr, Asbury, IA 52002",52002,SINGLE FAMILY - DETACHED,1976,Forced Air,Central Air,2,,11326,141,,489,5865,18,73,,
"202 N Linn St #204, Iowa City, IA 52245",52245,,,,,,,,,,,,92,27,3020,1618
"1840 NW 72nd Pl, Ankeny, IA 50023",50023,Single Family Residence,2021,Forced Air Gas Natural Gas,Central Air,3,,13068,211,,914,10962,1,15,,
"2740 Boston Ave, Des Moines, IA 50310",50310,Single Family Residence,1962,Forced Air Gas Natural Gas,Central Air,2,,7840,172,,404,4845,0,38,1618,4091
"623 Sumner St, Waterloo, IA 50703",50703,Single Family Residence,1912,Electric,Central Air,,,6098,42,,121,1453,27,151,4091,2484
"1717 E 27th St, Des Moines, IA 50317",50317,Single Family Residence,1917,Forced Air Gas Natural Gas,None,,,6969,169,,276,3312,53,148,2484,4091
"2108 53rd St, Des Moines, IA 50310",50310,Single Family Residence,1949,Forced Air Gas Natural Gas,Central Air,1,,9583,149,,489,5865,0,38,4091,4091
"1128 S Atticus St, West Des Moines, IA 50266",50266,Townhouse,2017,Forced Air Gas Natural Gas,Central Air,2,180,4791,263,,733,8798,1,12,,
"3106 Spring Valley Rd, Dubuque, IA 52001",52001,SINGLE FAMILY - DETACHED,1976,Forced Air,Central Air,2,,10018,106,,616,7392,10,72,4091,1637
"1 M Ave, Grundy Center, IA 50638",50638,Farm,,,,,,,,,,,12,,,
"6720 Wildbloom Ct, Sioux City, IA 51106",51106,Single Family Residence Residential,2017,Forced Air Fireplace(s),Central Air,3,,19166,147,,1169,14024,0,65,1637,3890
"84 Keeneland Ct, Pleasant Hill, IA 50327",50327,Single Family Residence,2021,Forced Air Gas Natural Gas,Central Air,2,185,2954,276,,619,7432,17,76,,
"1225 3rd Ave N, Clinton, IA 52732",52732,Single Family Residence,1970,Natural Gas Forced Air,Central Air,,,11326,80,,382,4590,16,101,3890,3647
"2801 Ep True Pkwy UNIT 803, West Des Moines, IA 50265",50265,Townhouse,1997,Forced Air Gas Natural Gas,Central Air,2,375,2178,143,,478,5738,13,34,,
"2812 Carey Ave, Davenport, IA 52803",52803,Single Family Residence,1890,Natural Gas Forced Air,Central Air,,,5040,88,,319,3825,41,46,3647,3827
"4709 Brookshire Pl, Sioux City, IA 51106",51106,Condominium Residential,2004,Forced Air,Central Air,2,240,,106,,691,8288,55,65,3827,3890
"5676 Brook View Ave, Des Moines, IA 50317",50317,Unimproved Land,,,,,,,,,134,1606,7,148,3890,4091
"4401 81st St, Urbandale, IA 50322",50322,Single Family Residence,1980,Forced Air Gas Natural Gas,Central Air,2,,13504,228,,520,6245,0,34,4091,1022
"1250 E 37th St, Des Moines, IA 50317",50317,Single Family Residence,1951,Forced Air Gas Natural Gas,Central Air Window Unit(s),2,,6534,157,,207,2486,26,148,1022,4091
"207 Prairie St, Bayard, IA 50029",50029,Single Family Residence,1956,Forced Air,Central Air,1,,12197,28,,53,637,14,,,
"405 S 6th St, Dunlap, IA 51529",51529,Single Family Residence,1900,Forced Air,Central Air,,,9147,72,,318,3812,29,,,
