address,zip,BuildingType,CalendarYear built,HeatingHeating,SnowflakeCooling,ParkingParking,HOAHOA,LotLot,Price Square FeetPrice/sqft,Rent,Mortgage fees per month,Mortgage fees per year,Walk Score,School Rank,Violent Crime,Property Crime
"409 Iowa St, Hills, IA 52235",52235,Single Family Residence,1950,Central Forced Air Natural Gas,Central Air Electric,2,,10018,133,,393,4718,14,,,
"2606 Knollcrest Dr, Burlington, IA 52601",52601,Single Family Residence,1960,Radiant,Window Unit(s),2,,35719,106,,297,3567,74,153,,
"8 Julien Dubuque Dr, Dubuque, IA 52003",52003,SINGLE FAMILY - DETACHED,1973,Forced Air,Central Air,2,,7405,152,,584,7010,7,46,3827,1637
"215 Broad St, Grinnell, IA 50112",50112,Single Family Residence,1964,Forced Air Gas Natural Gas,Central Air,,,10454,116,,244,2932,58,63,1637,1789
"0 Marigold Blvd, Fairfield, IA 52556",52556,,,,,,,,,,,,31,72,,
"631 Bethel Rd, Postville, IA 52162",52162,Unimproved Land,1919,Propane Leased Wood,Central Air,3,,,173,,956,11475,0,,,
"620 W Boone St, Marshalltown, IA 50158",50158,Single Family Residence,1910,Forced Air,Central Air,,,10890,40,,149,1782,63,79,1789,2496
"116 W 3rd St, Spencer, IA 51301",51301,Duplex,1910,Boiler,Window Unit(s),,,,46,,319,3822,71,140,2496,1662
"2391 Rookwood Ln, Marion, IA 52302",52302,,,,,,,,,,,,4,33,1662,1278
"214 Cedar St, Stockport, IA 52651",52651,Single Family Residence,1975,Baseboard,None,,,18295,33,,95,1145,7,,,
"3091 Duckhorn Cv, Marion, IA 52302",52302,Condominium,2021,Forced Air Gas,Central Air,2,125,,238,,665,7982,0,33,1278,1278
"2110 D Ave NE, Cedar Rapids, IA 52402",52402,Single Family Residence,1928,Forced Air Gas,Central Air,1,,6534,120,,298,3570,34,37,1278,3336
"5507 SE 1st Ct, Des Moines, IA 50315",50315,Single Family Residence,1976,Forced Air Gas Natural Gas,Central Air,1,,8712,235,,446,5352,23,21,3336,4091
"415 SW 60th St, Des Moines, IA 50312",50312,Single Family Residence,1958,Electric Forced Air,Central Air,,,7840,113,,287,3442,44,58,4091,4091
"306 Oak Ave, Schleswig, IA 51461",51461,Single Family Residence,1972,Forced Air,Central Air,1,,12632,57,,302,3621,20,,,
"103 High St, Lake View, IA 51450",51450,Single Family Residence,1942,Forced Air,Central Air,2,,10018,45,,147,1760,45,,,
"2700 Heather View Cir, Marion, IA 52302",52302,Single Family Residence,1999,Forced Air Gas,Central Air,3,,23958,111,,733,8798,18,33,4091,1278
"700 S 2nd St, Maquoketa, IA 52060",52060,SINGLE FAMILY - DETACHED,1940,Forced Air,None,,,7840,43,,96,1148,38,131,1278,2311
"904 NW Sienna Dr, Grimes, IA 50111",50111,Single Family Residence,2016,Gas Natural Gas,Central Air,2,,7405,228,,669,8030,11,43,,
"4120 Anna St, Iowa City, IA 52245",52245,Single Family Residence,2022,Forced Air Natural Gas,Ceiling Fan(s) Central Air Electric,3,,,178,,977,11727,13,27,2311,1618
"414 Longwood Dr NE, Cedar Rapids, IA 52402",52402,Single Family Residence,1927,Forced Air Gas,Central Air,2,,18295,109,,340,4077,58,37,1618,3336
"807 5th St, Buffalo, IA 52728",52728,Single Family Residence,1900,Natural Gas Forced Air,Central Air,,,17424,114,,297,3567,34,,,
"2481 Rookwood Ln, Marion, IA 52302",52302,Condominium,2021,Forced Air Gas,Central Air,3,,,154,,531,6372,3,33,3336,1278
"4730 Westchester Dr NE UNIT C, Cedar Rapids, IA 52402",52402,Condominium,1994,Forced Air Gas,Central Air,2,154,,103,,338,4054,24,37,1278,3336
"613 W Delaware St, Manchester, IA 52057",52057,Single Family Residence,1900,Forced Air Natural Gas,Central Air,2,,15246,85,,351,4208,53,95,,
"506 1st St W, Independence, IA 50644",50644,Single Family Residence,1910,Forced Air,Central Air,1,,8712,112,,223,2675,50,131,3336,1315
"1414 S 16th St, Centerville, IA 52544",52544,Single Family Residence,1934,Forced Air,Window Unit(s),2,,6969,29,,203,2439,31,,1315,2363
"5630 Brook View Ave, Des Moines, IA 50317",50317,Unimproved Land,,,,,,,,,140,1683,7,148,2363,4091
"306 W 5th St, Spencer, IA 51301",51301,Single Family Residence,1895,Forced Air,Central Air,2,,6969,56,,159,1910,67,140,4091,1662
"119 Grove St, Sioux City, IA 51103",51103,,,,,,,,,,,,21,150,1662,3890
"3448 Southdale Dr, Ames, IA 50010",50010,Townhouse,1976,Forced Air Gas Natural Gas,Central Air,1,150,2613,119,,372,4460,28,12,3890,1716
"3093 Duckhorn Cv, Marion, IA 52302",52302,Condominium,2021,Forced Air Gas,Central Air,2,125,,238,,665,7982,0,33,1716,1278
"2580 Serenity Dr, Waukee, IA 50263",50263,Single Family Residence,2021,Forced Air Gas Natural Gas,Central Air,3,,12632,293,,1005,12066,1,8,1278,759
"2214 Ellis Ave, Sioux City, IA 51109",51109,Single Family Residence Residential,1930,See Remarks,None,1,,30928,172,,175,2104,12,141,759,3890
"2015 SE Greentree Dr, Waukee, IA 50263",50263,Single Family Residence,2013,Forced Air Gas Natural Gas,Central Air,3,100,10890,256,,839,10072,12,8,3890,759
"1275 NW 70th Ave, Ankeny, IA 50023",50023,Single Family Residence,1956,Forced Air Gas Natural Gas,Central Air,2,,33541,227,,637,7647,2,15,,
